Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
7,1,#20VJ9V0UY,3Hours,19,625,2,0,7,23:40 09-Dec-2023
7,2,#Y2YQ8P0Q9,lunatic,18,686,0,0,7,23:40 09-Dec-2023
7,3,#G8CCCG0Q9,woofwentdog,18,538,2,0,6,23:40 09-Dec-2023
7,4,#202PU202,Brian,17,588,1,0,6,23:40 09-Dec-2023
7,5,#2RYGYL9G,Podeido,17,518,4,0,6,23:40 09-Dec-2023
7,6,#8CJ9Y2RJU,RaveN,16,487,2,0,6,23:40 09-Dec-2023
7,7,#GC22C0G2,Raven,15,500,3,1,6,23:40 09-Dec-2023
7,8,#JV09YLLV,SacredX,15,474,2,0,6,23:40 09-Dec-2023
7,9,#RP99QCPG,Shinikigami,14,504,1,0,6,23:40 09-Dec-2023
7,10,#QCP0PPYU,我家MYHOUSE,14,480,1,0,6,23:40 09-Dec-2023
7,11,#LL292PRC0,yishun,12,553,0,3,6,23:40 09-Dec-2023
7,12,#G82CYGJU8,harbourfront,12,426,2,0,6,23:40 09-Dec-2023
7,13,#8PLG2LYJ0,Linlook,10,432,0,1,5,23:40 09-Dec-2023
7,14,#QCJVJRUCJ,Mr. Tess,8,354,2,0,5,23:40 09-Dec-2023
7,15,#U8VRJYUC,seasaurus,7,285,1,1,4,23:40 09-Dec-2023
7,16,#9QJPVYC0,tengah,4,192,0,0,2,23:40 09-Dec-2023
7,17,#QVUU9G09P,bedok,0,0,0,0,0,23:40 09-Dec-2023
7,18,#982J0Q9J,✨MVP✨,0,0,0,0,0,23:40 09-Dec-2023
7,19,#G0GGJC99V,niconicorobin,0,0,0,0,0,23:40 09-Dec-2023
7,20,#LQ9PGUU8,我啊公家Grandpahome,0,0,0,0,0,23:40 09-Dec-2023
7,21,#QCYYJ8LLJ,我外婆家GrannyHouse,0,0,0,0,0,23:40 09-Dec-2023
7,22,#29J2GYLC,®️lunatic®️,0,0,0,0,0,23:40 09-Dec-2023
7,23,#20CL2LQG,Lee Hsien Loong,0,0,0,0,0,23:40 09-Dec-2023
7,24,#VJJJVGY2,ACAP,0,0,0,0,0,23:40 09-Dec-2023
7,25,#QVQYQ2RQ8,tonytonychopper,0,0,0,0,0,23:40 09-Dec-2023
7,26,#GPU8RJ9G2,rookie,0,0,0,0,0,23:40 09-Dec-2023
7,27,#QVYRJYG2U,poochitaaa,0,0,0,0,0,23:40 09-Dec-2023
7,28,#JYVJCQCG,Unicorn,0,0,0,0,0,23:40 09-Dec-2023
7,29,#YVLLRJJV,Twinstar,0,0,0,0,0,23:40 09-Dec-2023
7,30,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0,0,23:40 09-Dec-2023
7,31,#G0ULGUUR2,Sacr3dX,0,0,0,0,0,23:40 09-Dec-2023
7,32,#QQQJ8QCC9,Ghoul,0,0,0,0,0,23:40 09-Dec-2023
7,33,#J8V0Q088,捐兵号,0,0,0,0,0,23:40 09-Dec-2023
7,34,#Y282UQ80Q,Awkurtle,0,0,0,0,0,23:40 09-Dec-2023
7,35,#Q88UGCL29,Baconbanmi,0,0,0,0,0,23:40 09-Dec-2023
7,36,#G8QVLYYLL,JohnWeak,0,0,0,0,0,23:40 09-Dec-2023
7,37,#G0RVVULRP,nutsiao,0,0,0,0,0,23:40 09-Dec-2023
7,38,#J9RQLJ0Q,BlackX,0,0,0,0,0,23:40 09-Dec-2023
7,39,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,23:40 09-Dec-2023
7,40,#QC8VYYR90,Daros Diastima,0,0,0,0,0,23:40 09-Dec-2023
7,41,#G8QL2L22Q,Ryewff,0,0,0,0,0,23:40 09-Dec-2023
7,42,#G9PJ2URGP,raven,0,0,0,0,0,23:40 09-Dec-2023
