Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks
#Y2YQ8P0Q9,lunatic,0,0,0,0,0
#202PU202,Brian,0,0,0,0,0
#RP99QCPG,Shinikigami,0,0,0,0,0
#8PLG2LYJ0,Linlook,0,0,0,0,0
#QCJVJRUCJ,Mr. Tess,0,0,0,0,0
#JV09YLLV,SacredX,0,0,0,0,0
#20VJ9V0UY,3Hours,0,0,0,0,0
#982J0Q9J,✨MVP✨,0,0,0,0,0
#G82CYGJU8,harbourfront,0,0,0,0,0
#GC22C0G2,Raven,0,0,0,0,0
#G8CCCG0Q9,woofwentdog,0,0,0,0,0
#G0GGJC99V,niconicorobin,0,0,0,0,0
#QVUU9G09P,bedok,0,0,0,0,0
#9QJPVYC0,tengah,0,0,0,0,0
#QCP0PPYU,我家MYHOUSE,0,0,0,0,0
#20CL2LQG,Lee Hsien Loong,0,0,0,0,0
#VJJJVGY2,ACAP,0,0,0,0,0
#QVQYQ2RQ8,tonytonychopper,0,0,0,0,0
#QCYYJ8LLJ,我外婆家GrannyHouse,0,0,0,0,0
#2RYGYL9G,Podeido,0,0,0,0,0
#GPU8RJ9G2,rookie,0,0,0,0,0
#LL292PRC0,yishun,0,0,0,0,0
#LQ9PGUU8,我啊公家Grandpahome,0,0,0,0,0
#YVLLRJJV,Twinstar,0,0,0,0,0
#JYVJCQCG,Unicorn,0,0,0,0,0
#QVYRJYG2U,poochitaaa,0,0,0,0,0
#29J2GYLC,®️lunatic®️,0,0,0,0,0
#J8V0Q088,捐兵号,0,0,0,0,0
#G0ULGUUR2,Sacr3dX,0,0,0,0,0
#QQQJ8QCC9,Ghoul,0,0,0,0,0
#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0,0
#U8VRJYUC,seasaurus,0,0,0,0,0
#Q88UGCL29,Baconbanmi,0,0,0,0,0
#Y282UQ80Q,Awkurtle,0,0,0,0,0
#8CJ9Y2RJU,RaveN,0,0,0,0,0
#G8QVLYYLL,JohnWeak,0,0,0,0,0
#J9RQLJ0Q,BlackX,0,0,0,0,0
#9UQGPRLYP,Halimah Yacob,0,0,0,0,0
#G8QL2L22Q,Ryewff,0,0,0,0,0
#G0RVVULRP,nutsiao,0,0,0,0,0
#QC8VYYR90,Daros Diastima,0,0,0,0,0
#G9PJ2URGP,raven,0,0,0,0,0
