Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,83,#PU0PYYGJL,1,#PU0PYYGJL,quangdat,15
2,#Y2YQ8P0Q9,lunatic,14,2,94,#YPCLL9L90,2,#YPCLL9L90,vũ trần tú,15
3,#GC22C0G2,Raven,14,3,100,#Y28JJ22GU,3,#Y28JJ22GU,Super127,15
4,#202PU202,Brian,14,2,95,#PGUL2C8GQ,4,#PGUL2C8GQ,Đam mê pkl,14
5,#29J2GYLC,®️lunatic®️,15,3,100,#Q2Y9GY80U,5,#Q2Y9GY80U,Min Sờ Pin,14
7,#982J0Q9J,✨MVP✨,14,1,53,#Q80VC8J92,6,#Q80VC8J92,Hắc Long(✖﹏✖),14
8,#20VJ9V0UY,3Hours,13,3,100,#L0VQGYJ0R,8,#L0VQGYJ0R,ĐẠT abc,13
9,#LL292PRC0,yishun,15,2,94,#8P9UVV0VQ,9,#8P9UVV0VQ,Không Sợ Chó,13
10,#QCP0PPYU,我家MYHOUSE,13,2,95,#L9Y8GYYVC,10,#L9Y8GYYVC,dcm,13
12,#RP99QCPG,Shinikigami,13,3,100,#QGPY8G8YJ,11,#QGPY8G8YJ,cu-te,13
13,#JV09YLLV,SacredX,13,2,83,#YG0P0PCR9,12,#YG0P0PCR9,hoàng,13
14,#2RYGYL9G,Podeido,12,2,85,#LRCPJC9GU,13,#LRCPJC9GU,ĐẠT AK5,13
15,#QCJVJRUCJ,Mr. Tess,12,1,57,#Q0G2QUYJ,14,#Q0G2QUYJ,Ahmet1404,13
16,#G82CYGJU8,harbourfront,12,0,39,#99GJC9LU2,15,#99GJC9LU2,zzzaaa,13
17,#9QJPVYC0,tengah,12,2,58,#QYY8QV2YL,16,#QYY8QV2YL,cute-hatle,13
18,#8CJ9Y2RJU,RaveN,12,2,52,#L9G9QR2YQ,17,#L9G9QR2YQ,bgbk,13
19,#LQ9PGUU8,我啊公家Grandpahome,12,1,64,#QL0URQ8Q9,18,#QL0URQ8Q9,Ni Minh st,13
21,#QVQYQ2RQ8,tonytonychopper,12,1,78,#LV9YQ2RLL,19,#LV9YQ2RLL,Đạt$$$$$$$$$$$$,13
23,#G0GGJC99V,niconicorobin,12,3,100,#YYUJUL89V,20,#YYUJUL89V,thang vip,12
24,#QQQJ8QCC9,Ghoul,13,0,0,,21,#LY9RLR2J0,nojko,12
25,#G8CCCG0Q9,woofwentdog,12,2,88,#Y0CJRYJV8,22,#Y0CJRYJV8,Hiệp Manucian's,12
26,#U8VRJYUC,seasaurus,12,0,0,,24,#QJV82GVGJ,Thắng VIP 2,12
27,#G8QL2L22Q,Ryewff,12,0,0,,25,#QULCQ8R8V,hantaiz,12
28,#QVUU9G09P,bedok,11,2,73,#QJP2UYRPP,26,#QJP2UYRPP,hiếu2007,12
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,2,58,#QP9C298P0,27,#QP9C298P0,#Thien Truong,12
31,#Y282UQ80Q,Awkurtle,11,2,74,#QVU0GPJVL,28,#QVU0GPJVL,hùng sadboy,12
33,#QVYRJYG2U,poochitaaa,11,3,100,#G0JJYG9UL,29,#G0JJYG9UL,helly,12
34,#G0ULGUUR2,Sacr3dX,11,2,62,#2RJ9UV90G,30,#2RJ9UV90G,tommy lecool#17,12
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,2,68,#QULJ9LRUR,31,#QULJ9LRUR,phúmdkdk,13
37,#GPU8RJ9G2,rookie,10,0,0,,32,#2UGRCVVLJ,chase69,12
